protocol,left_mode,right_mode,difference,metric,n_pairs,mean_difference,ci95_low,ci95_high
cluster,graph+geometric0,graph+center0,right_minus_left,rmse_z,364,0.0010007389961649963,-0.0007396211751035957,0.0025982433747700462
cluster,graph+geometric0,graph+center0+center1,right_minus_left,pcc,364,-0.003702977268991016,-0.0061048358343537956,-0.0013060769966104383
cluster,graph+geometric0,graph+center0+center1,right_minus_left,spearman,364,-0.005499063791072936,-0.008702320197926754,-0.002563442799451091
cluster,graph+geometric0,graph+center0+center1,right_minus_left,rmse_z,364,0.0026780154387140384,0.0007749252990818919,0.004525502946496691
cluster,graph+geometric0,graph+center0+center_p1,right_minus_left,pcc,364,-0.0032797311256048374,-0.00576630770258632,-0.001064214402152989
cluster,graph+geometric0,graph+center0+center_p1,right_minus_left,spearman,364,-0.0039481825742270875,-0.006625366389065851,-0.0014212504509113334
cluster,graph+geometric0,graph+center0+center_p1,right_minus_left,rmse_z,364,0.0024199565394470474,0.0006971633335104572,0.004157134227843358
cluster,graph+geometric0,graph+center0+center_upper1,right_minus_left,pcc,364,-0.0027538403318152827,-0.005266082259167309,-0.0003038982607556998
cluster,graph+geometric0,graph+center0+center_upper1,right_minus_left,spearman,364,-0.002994601608405894,-0.005629043902301985,-0.0005150590735757918
cluster,graph+geometric0,graph+center0+center_upper1,right_minus_left,rmse_z,364,0.001723887225621507,-0.00011500870825899385,0.0033587452144548955
cluster,graph+geometric0+geometric1,graph+geometric0+geometric_p1,right_minus_left,pcc,364,8.629824901047078e-05,-0.0010581180719433053,0.0012386015957905642
cluster,graph+geometric0+geometric1,graph+geometric0+geometric_p1,right_minus_left,spearman,364,-0.001690445954473369,-0.004466307015111573,0.0009888381634458078
cluster,graph+geometric0+geometric1,graph+geometric0+geometric_p1,right_minus_left,rmse_z,364,0.00017865943056749036,-0.0007692115275640906,0.0010833311547592166
cluster,graph+geometric0+geometric1,graph+geometric0+geometric_upper1,right_minus_left,pcc,364,-0.0010556971477204472,-0.0028461679145977458,0.0007092500140013057
cluster,graph+geometric0+geometric1,graph+geometric0+geometric_upper1,right_minus_left,spearman,364,-0.0016537358419203352,-0.00450181540552361,0.0008066662000477463
cluster,graph+geometric0+geometric1,graph+geometric0+geometric_upper1,right_minus_left,rmse_z,364,0.0005215518502464757,-0.0011219182907186902,0.0020297232144859258
cluster,graph+geometric0+geometric1,graph+center0,right_minus_left,pcc,364,-0.002664635599474614,-0.00479455480824105,-0.0004897514001512313
cluster,graph+geometric0+geometric1,graph+center0,right_minus_left,spearman,364,-0.004549507549923903,-0.007296454026547184,-0.00191413083430616
cluster,graph+geometric0+geometric1,graph+center0,right_minus_left,rmse_z,364,-0.0005811970659366277,-0.0028232384405404327,0.0014548479388794618
cluster,graph+geometric0+geometric1,graph+center0+center1,right_minus_left,pcc,364,-0.0030660749653672967,-0.005209747454309242,-0.0008160487687906536
cluster,graph+geometric0+geometric1,graph+center0+center1,right_minus_left,spearman,364,-0.004352043492244396,-0.0072741097370256575,-0.0014154563940712084
cluster,graph+geometric0+geometric1,graph+center0+center1,right_minus_left,rmse_z,364,0.0010960793766124138,-0.0007906870246641518,0.0028474555152110314
cluster,graph+geometric0+geometric1,graph+center0+center_p1,right_minus_left,pcc,364,-0.002642828821981118,-0.004716516859652616,-0.0004923197105254424
cluster,graph+geometric0+geometric1,graph+center0+center_p1,right_minus_left,spearman,364,-0.0028011622753985476,-0.005548594652445281,1.0581744898942944e-05
cluster,graph+geometric0+geometric1,graph+center0+center_p1,right_minus_left,rmse_z,364,0.0008380204773454234,-0.0011499324757484452,0.0026566821027109977
cluster,graph+geometric0+geometric1,graph+center0+center_upper1,right_minus_left,pcc,364,-0.002116938028191564,-0.004438617839780781,0.00030365713057582303
cluster,graph+geometric0+geometric1,graph+center0+center_upper1,right_minus_left,spearman,364,-0.0018475813095773551,-0.004526896488206766,0.000905110995506699
